Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,year,-9999
15,Maksym Koval,ua UKR,GK,Al-Fateh,27,1992,29,29,2610,29.0,54,1.86,126,78,61.1,11,6,12,4,13.8,7,5,1,1,16.7,2020,60713cb3
16,Raïs M'Bolhi,dz ALG,GK,Al-Ettifaq,34,1986,18,18,1620,18.0,26,1.44,52,36,67.3,10,4,4,3,16.7,11,9,1,1,10.0,2020,c121a641
17,Mustafa Malayekah,sa KSA,GK,Al-Faisaly,34,1986,27,27,2430,27.0,43,1.59,100,66,63.0,8,8,11,4,14.8,9,6,3,0,33.3,2020,86c45703
18,Faisel Masrahi,sa KSA,GK,Al-Qadsiah,27,1993,28,28,2475,27.5,40,1.45,128,94,71.9,8,11,9,3,10.7,7,4,2,1,33.3,2020,4bd0d221
19,Abdullah Al-Mayouf,sa KSA,GK,Al-Hilal,33,1987,19,19,1710,19.0,18,0.95,64,54,81.3,12,4,3,7,36.8,8,6,2,0,25.0,2020,c3c96222
20,Abdelali Mhamdi,ma MAR,GK,Abha,28,1991,30,30,2700,30.0,50,1.67,162,118,72.2,10,6,14,4,13.3,7,5,1,1,16.7,2020,29b3f0d1
21,Yasser Al Mosailem,sa KSA,GK,Al-Ahli,36,1984,4,3,287,3.2,5,1.57,16,12,75.0,2,0,1,2,66.7,1,1,0,0,0.0,2020,6869a0aa
22,Raghid Najjar,sa KSA,GK,Al-Wehda,23,1996,3,3,270,3.0,5,1.67,15,11,73.3,1,0,2,0,0.0,1,1,0,0,0.0,2020,5acf5ee8
23,Saleh Al Ohaymid,sa KSA,GK,Al-Ain,22,1998,4,2,255,2.8,5,1.76,6,3,50.0,0,0,2,1,50.0,2,2,0,0,0.0,2020,9f394f49
24,Mohammed Al-Owais,sa KSA,GK,Al-Ahli,28,1991,20,20,1800,20.0,44,2.20,102,70,67.6,6,4,10,1,5.0,12,11,1,0,8.3,2020,f2c060c6
25,Abdullah Al-Owaishir,sa KSA,GK,Al-Wehda,29,1991,27,27,2430,27.0,56,2.07,136,89,65.4,8,5,14,3,11.1,10,9,0,1,0.0,2020,6a1fe279
26,Fawaz Al-Qarni,sa KSA,GK,Al-Ittihad,28,1992,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,2020,5e08e9d2
27,Ahmed Al-Rehaili,sa KSA,GK,Al-Raed,25,1994,5,5,450,5.0,10,2.00,14,9,57.1,3,0,2,0,0.0,5,4,1,0,20.0,2020,cd9753ac
28,Hussain Shae'an,sa KSA,GK,Al-Taawoun,31,1989,2,2,180,2.0,2,1.00,8,7,87.5,0,1,1,0,0.0,1,1,0,0,0.0,2020,4049ea16
29,Mohammed Al Shammari,sa KSA,GK,Al-Ain,28,1991,8,7,671,7.5,18,2.41,46,31,65.2,0,0,7,1,14.3,3,2,1,0,33.3,2020,964d1bc6
30,Khalid Sharahili,sa KSA,GK,Damac,33,1987,8,8,720,8.0,13,1.62,30,18,60.0,2,2,4,2,25.0,1,1,0,0,0.0,2020,a890a99e
31,Mohammed Al-Waked,sa KSA,GK,Al-Qadsiah,28,1992,3,2,225,2.5,6,2.40,6,2,33.3,0,0,2,0,0.0,2,2,0,0,0.0,2020,be401296
32,Habib Al Watyan,sa KSA,GK,Al-Hilal,23,1996,8,8,720,8.0,7,0.87,26,20,76.9,4,3,1,2,25.0,1,1,0,0,0.0,2020,e1e3c6a1
33,Mohammed Al Yami,sa KSA,GK,Al-Ahli,22,1997,7,7,613,6.8,7,1.03,33,27,81.8,3,2,2,4,57.1,1,1,0,0,0.0,2020,0bb0f7c6
34,Moustapha Zeghba,dz ALG,GK,Damac,29,1990,22,22,1980,22.0,33,1.50,100,70,70.0,7,7,8,4,18.2,4,3,1,0,25.0,2020,83054751
1,Mohammed Ahmed Alhaeti,sa KSA,GK,Al-Ettifaq,,,2,2,180,2.0,1,0.50,3,2,66.7,1,1,0,1,50.0,0,0,0,0,,2019,cd36d655
2,Malik Asselah,dz ALG,GK,Al-Hazem,33,1986,29,29,2610,29.0,60,2.07,150,101,66.7,7,6,16,4,13.8,11,10,1,0,9.1,2019,9e23b6c3
3,Abdulquddus Atiah,sa KSA,GK,Al-Wehda,22,1997,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,2019,94892f17
4,Basim Al Baqi,sa KSA,GK,Al-Ahli,29,1989,1,1,90,1.0,1,1.00,3,3,66.7,0,1,0,0,0.0,1,0,1,0,100.0,2019,407eaed7
5,Zaid Al Bawardi,sa KSA,GK,Al-Nassr,22,1997,2,1,113,1.3,1,0.80,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,2019,ae82309a
6,Farouk Ben Mustapha,tn TUN,GK,Al-Shabab,30,1989,25,25,2191,24.3,32,1.31,93,68,72.0,11,4,10,10,40.0,7,6,1,0,14.3,2019,7b3c3cdf
7,Cássio,pt POR,GK,Al-Taawoun,38,1980,29,29,2610,29.0,38,1.31,130,94,72.3,10,5,14,6,20.7,2,2,0,0,0.0,2019,5d3888a5
8,Azzedine Doukha,dz ALG,GK,Al-Raed,32,1986,29,29,2610,29.0,50,1.72,126,89,67.5,12,7,10,6,20.7,13,9,4,0,30.8,2019,1b7f3530
9,Moslem Al Freej,sa KSA,GK,Al-Fayha,31,1988,14,14,1260,14.0,19,1.36,56,42,75.0,4,4,6,3,21.4,5,5,0,0,0.0,2019,3d438767
10,Marcelo Grohe,br BRA,GK,Al-Ittihad,32,1987,17,17,1530,17.0,18,1.06,57,42,71.9,5,7,5,3,17.6,4,2,1,1,33.3,2019,69c26681
11,Marwan Al Haidari,sa KSA,GK,Al-Shabab,23,1996,5,5,450,5.0,5,1.00,22,18,81.8,1,3,1,1,20.0,1,1,0,0,0.0,2019,ad78b3d4
12,Abdullah Al Jadani,sa KSA,GK,Al-Wehda,27,1991,18,18,1620,18.0,25,1.39,73,53,71.2,10,1,7,5,27.8,5,4,1,0,20.0,2019,d0e20c59
13,Brad Jones,au AUS,GK,Al-Nassr,37,1982,29,29,2584,28.7,26,0.91,81,58,71.6,19,6,4,12,41.4,3,3,0,0,0.0,2019,ffc1c226
14,Ahmed Al-Kassar,sa KSA,GK,Al-Faisaly,28,1991,3,3,180,2.0,4,2.00,5,3,60.0,0,1,1,0,0.0,2,2,0,0,0.0,2019,eedb42fd
15,Maksym Koval,ua UKR,GK,Al-Fateh,26,1992,18,18,1620,18.0,34,1.89,80,52,63.8,2,6,10,1,5.6,6,5,1,0,16.7,2019,60713cb3
16,Raïs M'Bolhi,dz ALG,GK,Al-Ettifaq,33,1986,28,28,2519,28.0,38,1.36,109,76,69.7,12,2,14,8,28.6,6,5,0,1,0.0,2019,c121a641
17,Mustafa Malayekah,sa KSA,GK,Al-Faisaly,33,1986,28,28,2520,28.0,32,1.14,100,72,71.0,14,5,9,8,28.6,5,3,1,1,25.0,2019,86c45703
18,Aymen Mathlouthi,tn TUN,GK,Al-Adalah,34,1984,10,10,874,9.7,17,1.75,47,32,66.0,2,3,5,1,10.0,2,1,1,0,50.0,2019,dd1abe1b
19,Abdullah Al-Mayouf,sa KSA,GK,Al-Hilal,32,1987,27,27,2430,27.0,24,0.89,86,65,75.6,19,6,2,9,33.3,5,3,1,1,25.0,2019,c3c96222
20,Ali Al-Mazidi,sa KSA,GK,Al-Adalah,33,1985,18,18,1620,18.0,40,2.22,95,57,58.9,2,6,10,3,16.7,4,1,1,2,50.0,2019,a75cacfd
