Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,year,-9999
31,Fahad Al-Thunayan,sa KSA,GK,Al-Hilal,28,1986,4,4,360,4.0,,,,0,,3,1,0,2,50.0,0,0,0,0,,2015,bf3c372e
32,Mohammed Al-Towil,sa KSA,GK,Al-Khaleej,24,1991,5,4,405,4.5,,,,0,,1,1,2,1,25.0,1,0,0,1,,2015,62d054c9
33,Ibrahim Zaied,sa KSA,GK,Al-Faisaly,25,1990,6,6,540,6.0,,,,0,,1,3,2,2,33.3,0,0,0,0,,2015,087c8b82
1,Waleed Abdullah,sa KSA,GK,Al-Shabab,28,1986,17,17,1530,17.0,,,,0,,8,5,4,8,47.1,1,1,0,0,0.0,2014,aec6d2a5
2,Basem Alatala,sa KSA,GK,Al-Taawoun,24,1989,4,4,360,4.0,,,,0,,1,0,3,1,25.0,0,0,0,0,,2014,27411252
3,Basim Al Baqi,sa KSA,GK,Al-Taawoun,24,1989,17,17,1530,17.0,,,,0,,6,6,5,4,23.5,3,2,0,1,0.0,2014,407eaed7
4,Abdulrahman Dagriri,sa KSA,GK,Hajer,24,1990,3,2,202,2.3,,,,0,,0,0,2,0,0.0,0,0,0,0,,2014,aacb1b3d
5,Abdullah Al-Enezi,sa KSA,GK,Al-Nassr,23,1990,24,24,2148,23.9,,,,0,,19,3,2,10,41.7,6,6,0,0,0.0,2014,b99aba4f
6,Moslem Al Freej,sa KSA,GK,Al-Khaleej,26,1988,26,26,2340,26.0,,,,0,,7,8,11,3,11.5,5,4,0,1,0.0,2014,3d438767
7,Sultan Al-Ghamdi,sa KSA,GK,Al-Taawoun,22,1992,2,2,180,2.0,,,,0,,0,1,1,0,0.0,1,1,0,0,0.0,2014,61b93dd0
8,Saied Al Harbi,sa KSA,GK,Al-Shoulla,32,1981,7,7,630,7.0,,,,0,,1,2,4,1,14.3,0,0,0,0,,2014,5058b282
9,Ibrahim Al Hazmi,sa KSA,GK,Al-Orobah,,,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,2014,dd5328bb
