Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Min.1,Mn/MP,Min%,Starts.1,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Fls,Fld,Off,Crs,Int,TklW,OG,year
3,Saeed AlRubaie,KSA,D,Al-Shabab,28.0,1994.0,25,23,2128,23.6,0,1,0,0,0,10,0,0.00,0.04,0.04,0.00,0.04,19,2,10.5,0.80,0.08,0.00,0.00,2128,85,78.8,23,90,22,2,30,0,1.24,32,37,-5,-0.21,+0.10,42,6,2,0,27,16,0,2021
4,Mohammed Adams,ENG,M,Al-Shabab,25.0,1996.0,8,5,354,3.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.25,0.00,0.00,0.00,354,44,15.7,5,63,1,3,13,6,0.88,2,8,-6,-1.53,-1.38,9,10,0,0,9,11,0,2021
5,Grzegorz Krychowiak,POL,M,Al-Shabab,32.0,1990.0,14,14,1190,13.2,4,2,1,3,4,2,2,0.30,0.15,0.45,0.08,0.23,39,11,28.2,2.95,0.83,0.03,0.09,1190,85,44.1,14,85,11,0,,0,1.57,23,17,+6,+0.45,+0.10,15,25,1,4,17,12,0,2021
